P.s,Item,Condition,Probmanip,Speaker,statement,response,final,Meaning,Imposition
8,11,4,0,1,0,0,0,Direct,Low
8,12,1,0,1,0,0,0,Indirect,High
8,13,2,0,1,0,1,0,Indirect,Low
8,14,3,0,1,0,0,0,Direct,High
8,15,4,0,0,0,0,0,Direct,Low
8,16,1,0,0,0,0,0,Indirect,High
8,17,2,0,0,0,0,0,Indirect,Low
8,18,3,1,1,0,0,0,Direct,High
8,19,4,0,1,0,0,0,Direct,Low
8,20,1,1,0,0,0,0,Indirect,High
8,21,2,0,1,1,1,0,Indirect,Low
8,22,3,0,1,0,0,0,Direct,High
8,23,4,1,0,0,0,0,Direct,Low
8,24,1,1,0,0,0,0,Indirect,High
8,25,2,0,0,0,0,0,Indirect,Low
8,26,3,0,0,0,0,0,Direct,High
8,27,4,0,0,0,0,0,Direct,Low
8,28,1,0,0,0,0,0,Indirect,High
9,1,1,0,0,0,0,0,Indirect,High
9,2,2,1,1,1,0,0,Indirect,Low
9,3,3,0,1,0,0,0,Direct,High
9,4,4,0,1,0,0,0,Direct,Low
9,5,1,1,1,1,0,0,Indirect,High
9,6,2,0,0,1,1,0,Indirect,Low
9,7,3,0,1,0,0,0,Direct,High
9,8,4,1,1,0,1,0,Direct,Low
9,9,1,0,1,0,0,0,Indirect,High
9,10,2,0,1,0,0,0,Indirect,Low
9,11,3,0,1,0,0,0,Direct,High
9,12,4,0,1,0,0,0,Direct,Low
9,13,1,0,0,0,0,0,Indirect,High
9,14,2,0,0,0,0,0,Indirect,Low
9,15,3,0,1,0,0,0,Direct,High
9,16,4,0,1,0,0,0,Direct,Low
9,17,1,0,1,0,0,0,Indirect,High
9,18,2,0,1,1,0,0,Indirect,Low
9,19,3,0,1,0,0,0,Direct,High
9,20,4,0,1,1,0,0,Direct,Low
9,21,1,0,0,0,0,0,Indirect,High
9,22,2,0,1,0,0,0,Indirect,Low
9,23,3,0,0,0,0,0,Direct,High
9,24,4,0,0,1,0,0,Direct,Low
9,25,1,1,0,0,0,0,Indirect,High
9,26,2,0,0,0,0,0,Indirect,Low
9,27,3,0,1,0,0,0,Direct,High
9,28,4,0,1,0,0,0,Direct,Low
10,1,4,1,0,0,0,0,Direct,Low
10,2,1,1,0,0,0,0,Indirect,High
10,3,2,1,0,1,0,0,Indirect,Low
10,4,3,1,0,0,0,0,Direct,High
10,5,4,1,0,1,1,0,Direct,Low
10,6,1,0,0,0,1,0,Indirect,High
10,7,2,1,1,1,1,0,Indirect,Low
10,8,3,0,1,0,0,0,Direct,High
10,9,4,1,1,1,0,0,Direct,Low
10,10,1,1,1,0,1,0,Indirect,High
10,11,2,1,0,1,0,0,Indirect,Low
10,12,3,1,0,0,0,0,Direct,High
10,13,4,1,0,1,1,0,Direct,Low
10,14,1,0,0,0,1,0,Indirect,High
10,15,2,0,0,0,1,0,Indirect,Low
10,16,3,0,0,0,1,0,Direct,High
10,17,4,1,1,1,1,0,Direct,Low
10,18,1,1,0,0,0,0,Indirect,High
10,19,2,1,0,1,0,0,Indirect,Low
10,20,3,1,0,0,1,0,Direct,High
10,21,4,1,0,0,0,0,Direct,Low
10,22,1,1,0,1,0,0,Indirect,High
10,23,2,1,1,1,0,0,Indirect,Low
10,24,3,1,0,1,1,0,Direct,High
10,25,4,1,0,1,0,0,Direct,Low
10,26,1,1,0,0,0,0,Indirect,High
10,27,2,1,0,0,1,0,Indirect,Low
10,28,3,1,0,0,1,0,Direct,High
11,1,3,0,0,0,0,0,Direct,High
11,2,4,0,0,0,0,0,Direct,Low
11,3,1,0,1,0,0,0,Indirect,High
11,4,2,0,0,0,0,0,Indirect,Low
11,5,3,0,0,0,0,0,Direct,High
11,6,4,0,0,0,0,0,Direct,Low
11,7,1,0,0,0,0,0,Indirect,High
11,8,2,,,,,,Indirect,Low
11,9,3,0,0,0,0,0,Direct,High
11,10,4,0,0,0,0,0,Direct,Low
11,11,1,0,0,0,0,0,Indirect,High
11,12,2,0,1,0,0,0,Indirect,Low
11,13,3,0,0,0,0,0,Direct,High
11,14,4,0,0,0,0,0,Direct,Low
11,15,1,0,0,0,0,0,Indirect,High
11,16,2,0,0,0,0,0,Indirect,Low
11,17,3,0,0,0,0,0,Direct,High
11,18,4,0,0,0,0,0,Direct,Low
11,19,1,0,0,0,0,0,Indirect,High
11,20,2,0,0,0,0,0,Indirect,Low
11,21,3,0,0,0,0,0,Direct,High
11,22,4,0,0,0,0,0,Direct,Low
11,23,1,0,0,0,0,0,Indirect,High
11,24,2,0,0,0,0,0,Indirect,Low
11,25,3,0,0,0,0,0,Direct,High
11,26,4,0,0,0,0,0,Direct,Low
11,27,1,0,0,0,0,0,Indirect,High
11,28,2,0,0,0,0,0,Indirect,Low
12,1,2,1,1,1,0,0,Indirect,Low
12,2,3,0,0,0,0,0,Direct,High
12,3,4,0,1,0,0,0,Direct,Low
12,4,1,0,0,0,0,0,Indirect,High
12,5,2,0,0,0,1,0,Indirect,Low
12,6,3,0,0,0,0,0,Direct,High
12,7,4,0,0,0,0,0,Direct,Low
12,8,1,0,0,0,0,0,Indirect,High
12,9,2,0,0,0,0,0,Indirect,Low
12,10,3,0,0,0,0,0,Direct,High
12,11,4,0,1,0,0,0,Direct,Low
12,12,1,0,1,0,0,0,Indirect,High
12,13,2,0,0,0,0,0,Indirect,Low
12,14,3,0,0,0,0,0,Direct,High
12,15,4,0,0,0,0,0,Direct,Low
12,16,1,0,0,0,0,0,Indirect,High
12,17,2,1,1,0,0,0,Indirect,Low
12,18,3,0,0,0,0,0,Direct,High
12,19,4,1,0,0,0,0,Direct,Low
12,20,1,0,0,0,0,0,Indirect,High
12,21,2,1,1,0,0,0,Indirect,Low
12,22,3,0,0,0,0,0,Direct,High
12,23,4,0,0,0,0,0,Direct,Low
12,24,1,0,1,0,0,0,Indirect,High
12,25,2,0,1,0,0,0,Indirect,Low
12,26,3,0,0,0,1,0,Direct,High
12,27,4,0,0,0,0,0,Direct,Low
12,28,1,0,0,0,0,0,Indirect,High
13,1,1,1,0,0,0,0,Indirect,High
13,2,2,1,0,0,1,0,Indirect,Low
13,3,3,0,0,0,0,0,Direct,High
13,4,4,0,1,0,0,0,Direct,Low
13,5,1,0,0,0,0,0,Indirect,High
13,6,2,0,0,1,0,0,Indirect,Low
13,7,3,0,0,0,0,0,Direct,High
13,8,4,1,0,0,1,0,Direct,Low
13,9,1,0,0,0,0,0,Indirect,High
13,10,2,0,0,0,0,0,Indirect,Low
13,11,3,0,0,0,0,0,Direct,High
13,12,4,1,0,0,0,0,Direct,Low
13,13,1,0,0,0,0,0,Indirect,High
13,14,2,0,0,0,1,0,Indirect,Low
13,15,3,0,0,0,0,0,Direct,High
13,16,4,1,0,0,0,0,Direct,Low
13,17,1,0,0,0,0,0,Indirect,High
13,18,2,0,0,0,1,0,Indirect,Low
13,19,3,0,0,0,0,0,Direct,High
13,20,4,0,0,0,0,0,Direct,Low
13,21,1,1,1,1,0,0,Indirect,High
13,22,2,0,0,0,0,0,Indirect,Low
13,23,3,0,0,0,0,0,Direct,High
13,24,4,0,0,0,1,0,Direct,Low
13,25,1,0,0,0,0,0,Indirect,High
13,26,2,0,0,0,0,0,Indirect,Low
13,27,3,1,0,0,0,0,Direct,High
13,28,4,1,0,0,0,0,Direct,Low
14,1,4,1,1,0,0,0,Direct,Low
14,2,1,0,0,0,0,0,Indirect,High
