P.s,Item,Condition,Prob-manip,Speaker,statement,response,final,Meaning,Probability
7,6,4,374,306,1702,1257,1032,Direct,Low
7,7,1,2188,398,346,2127,1848,Indirect,High
7,8,2,,,,,,Indirect,Low
7,9,3,2528,,192,1800,1951,Direct,High
7,10,4,3710,497,2060,1766,543,Direct,Low
7,11,1,3442,805,1591,672,1311,Indirect,High
7,12,2,1769,345,701,1910,829,Indirect,Low
7,13,3,1933,332,2041,1843,2070,Direct,High
7,14,4,2284,,116,2488,1086,Direct,Low
7,15,1,4210,528,2329,2198,1176,Indirect,High
7,16,2,2321,,137,1703,2885,Indirect,Low
7,17,3,1821,323,1691,2140,1456,Direct,High
7,18,4,2115,636,1213,124,850,Direct,Low
7,19,1,3476,786,2398,270,1488,Indirect,High
7,20,2,1841,473,1865,2382,1217,Indirect,Low
7,21,3,163,,158,2585,1948,Direct,High
7,22,4,1731,366,1180,1408,1321,Direct,Low
7,23,1,2137,362,1133,1359,1486,Indirect,High
7,24,2,993,353,1420,1680,573,Indirect,Low
7,25,3,2351,278,1885,1114,2628,Direct,High
7,26,4,1766,597,1576,1351,1996,Direct,Low
7,27,1,2091,540,1029,1747,2269,Indirect,High
7,28,2,2605,510,1410,2024,445,Indirect,Low
8,1,2,1343,386,164,2168,1379,Indirect,Low
8,2,3,1628,574,406,960,1198,Direct,High
8,3,4,1191,242,1153,1557,2110,Direct,Low
8,4,1,216,371,777,1367,1751,Indirect,High
8,5,2,1340,296,1308,791,1328,Indirect,Low
8,6,3,2518,288,136,848,356,Direct,High
8,7,4,1697,,130,1023,2162,Direct,Low
8,8,1,888,,137,916,552,Indirect,High
8,9,2,1548,501,1169,1093,1665,Indirect,Low
8,10,3,1735,268,720,849,1056,Direct,High
8,11,4,2471,1468,160,873,1096,Direct,Low
8,12,1,1330,,282,925,916,Indirect,High
8,13,2,1822,,137,1846,1304,Indirect,Low
8,14,3,1638,,124,1513,1130,Direct,High
8,15,4,91,307,992,1884,596,Direct,Low
8,16,1,4286,292,976,2015,2188,Indirect,High
8,17,2,2597,285,627,2061,821,Indirect,Low
8,18,3,2338,,121,1234,1079,Direct,High
8,19,4,2624,,123,733,717,Direct,Low
8,20,1,1372,,1016,1061,1268,Indirect,High
8,21,2,2393,,148,2096,151,Indirect,Low
8,22,3,1179,,124,929,1080,Direct,High
8,23,4,2801,369,1456,1702,798,Direct,Low
8,24,1,835,,230,1974,900,Indirect,High
8,25,2,2397,464,1407,1118,1223,Indirect,Low
8,26,3,1364,210,861,1221,1499,Direct,High
8,27,4,2583,197,623,1233,2002,Direct,Low
8,28,1,1493,347,807,1481,1724,Indirect,High
9,1,1,1629,435,670,1896,2989,Indirect,High
9,2,2,2128,154,465,176,1683,Indirect,Low
9,3,3,4438,,122,1327,2544,Direct,High
9,4,4,2409,,135,1331,1556,Direct,Low
9,5,1,1464,154,2672,1171,1627,Indirect,High
9,6,2,3201,,1872,1101,569,Indirect,Low
9,7,3,1040,,143,1612,2722,Direct,High
